,continent,location,total_cases,total_cases_per_million,total_deaths,total_vaccinations,people_fully_vaccinated_per_hundred,population,population_density,median_age,aged_65_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,obesity_percentage
156,Europe,Sweden,2070456.0,197806.135,15855.0,0.0,0.0,10467097.0,24.718,41.0,19.985,46949.283,0.5,133.982,4.79,18.8,18.9,2.22,82.8,0.945,20.6
157,Europe,Switzerland,2220539.0,255486.742,12708.0,15317659.0,68.13,8691406.0,214.243,43.1,18.436,57410.166,0.0,99.739,5.59,22.6,28.9,4.53,83.78,0.955,19.5
158,Asia,Tajikistan,17706.0,1815.988,125.0,0.0,0.0,9750064.0,64.281,23.3,3.466,2896.913,4.8,427.698,7.11,0.0,0.0,4.8,71.1,0.668,14.2
159,Asia,Thailand,2440542.0,34085.257,22173.0,116749385.0,68.03,71601103.0,135.132,40.1,11.373,16277.671,0.1,109.861,7.04,1.9,38.8,2.1,77.15,0.777,10.0
160,Africa,Togo,36491.0,4221.136,268.0,0.0,0.0,8644829.0,143.366,19.4,2.839,1429.813,49.2,280.033,6.15,0.9,14.2,0.7,61.04,0.515,8.4
161,Oceania,Tonga,1.0,9.432,0.0,0.0,0.0,106017.0,150.028,22.3,5.82,5425.621,0.0,227.49,15.42,11.8,44.4,2.6,70.91,0.725,48.2
162,North America,Trinidad and Tobago,111549.0,73115.098,3404.0,1480799.0,45.24,1525663.0,266.886,36.2,10.014,28763.071,0.0,228.467,10.97,0.0,0.0,3.0,73.51,0.796,18.6
163,Africa,Tunisia,909813.0,74192.042,26288.0,12757250.0,50.84,12262946.0,74.228,32.7,8.001,10849.297,2.0,318.991,8.52,1.1,65.8,2.3,76.7,0.74,26.9
166,Africa,Uganda,161839.0,3529.458,3533.0,12911692.0,4.39,45853778.0,213.759,16.4,2.168,1697.707,41.6,213.333,2.5,3.4,16.7,0.5,63.37,0.544,5.3
167,Europe,Ukraine,4255206.0,97750.218,106880.0,30366236.0,33.69,43531422.0,77.39,41.4,16.462,7894.393,0.1,539.849,7.11,13.5,47.4,8.8,72.06,0.779,24.1
168,Asia,United Arab Emirates,845058.0,90234.384,2243.0,0.0,0.0,9365144.0,112.442,34.0,1.144,67293.483,0.0,317.84,17.26,1.2,37.4,1.2,77.97,0.89,31.7
169,South America,Uruguay,668425.0,195088.814,6479.0,7436812.0,78.67,3426260.0,19.751,35.6,14.655,20551.409,0.1,160.708,6.93,14.0,19.9,2.8,77.91,0.817,27.9
170,Asia,Uzbekistan,223008.0,6543.384,1564.0,0.0,0.0,34081449.0,76.134,28.2,4.469,6253.104,0.0,724.417,7.57,1.3,24.7,4.0,71.72,0.72,16.6
171,Oceania,Vanuatu,7.0,21.934,1.0,0.0,0.0,319136.0,22.662,23.1,4.394,2921.909,13.2,546.3,12.02,2.8,34.5,0.0,70.47,0.609,25.2
172,not_applicable,World,379085682.0,47929.136,5707530.0,10084660416.0,52.65,7909295152.0,58.045,30.9,8.696,15469.207,10.0,233.07,8.51,6.434,34.635,2.705,72.58,0.737,13.1
173,Asia,Yemen,11019.0,334.095,2012.0,744060.0,1.04,32981641.0,53.508,20.3,2.922,1479.147,18.8,495.003,5.35,7.6,29.2,0.7,66.12,0.47,17.1
174,Africa,Zambia,305047.0,15665.026,3917.0,2386312.0,8.53,19473125.0,22.995,17.7,2.48,3689.251,57.5,234.499,3.94,3.1,24.7,2.0,63.89,0.584,8.1
175,Africa,Zimbabwe,229666.0,14359.937,5338.0,7632514.0,20.63,15993524.0,42.729,19.6,2.822,1899.775,21.4,307.846,1.82,1.6,30.7,1.7,61.49,0.571,15.5
